,Sample combination,Jaccard_similarity_value
0,"(0, 1)",0.53
1,"(0, 2)",0.44
2,"(0, 3)",0.51
3,"(0, 4)",0.49
4,"(0, 5)",0.52
5,"(0, 6)",0.42
6,"(0, 7)",0.62
7,"(0, 8)",0.52
8,"(0, 9)",0.51
9,"(0, 10)",0.41
10,"(0, 11)",0.42
11,"(0, 12)",0.44
12,"(0, 13)",0.43
13,"(0, 14)",0.46
14,"(0, 15)",0.43
15,"(0, 16)",0.53
16,"(0, 17)",0.45
17,"(0, 18)",0.54
18,"(0, 19)",0.52
19,"(0, 20)",0.48
20,"(0, 21)",0.61
21,"(0, 22)",0.63
22,"(0, 23)",0.55
23,"(0, 24)",0.55
24,"(0, 25)",0.49
25,"(0, 26)",0.52
26,"(0, 27)",0.54
27,"(0, 28)",0.34
28,"(0, 29)",0.41
29,"(0, 30)",0.33
30,"(0, 31)",0.4
31,"(0, 32)",0.49
32,"(0, 33)",0.48
33,"(0, 34)",0.43
34,"(0, 35)",0.45
35,"(0, 36)",0.51
36,"(0, 37)",0.56
37,"(0, 38)",0.58
38,"(0, 39)",0.49
39,"(1, 2)",0.52
40,"(1, 3)",0.56
41,"(1, 4)",0.51
42,"(1, 5)",0.5
43,"(1, 6)",0.49
44,"(1, 7)",0.64
45,"(1, 8)",0.52
46,"(1, 9)",0.51
47,"(1, 10)",0.5
48,"(1, 11)",0.51
49,"(1, 12)",0.49
50,"(1, 13)",0.52
51,"(1, 14)",0.53
52,"(1, 15)",0.51
53,"(1, 16)",0.53
54,"(1, 17)",0.51
55,"(1, 18)",0.54
56,"(1, 19)",0.5
57,"(1, 20)",0.36
58,"(1, 21)",0.66
59,"(1, 22)",0.68
60,"(1, 23)",0.65
61,"(1, 24)",0.64
62,"(1, 25)",0.56
63,"(1, 26)",0.59
64,"(1, 27)",0.58
65,"(1, 28)",0.52
66,"(1, 29)",0.53
67,"(1, 30)",0.54
68,"(1, 31)",0.51
69,"(1, 32)",0.54
70,"(1, 33)",0.49
71,"(1, 34)",0.5
72,"(1, 35)",0.49
73,"(1, 36)",0.45
74,"(1, 37)",0.57
75,"(1, 38)",0.6
76,"(1, 39)",0.5
77,"(2, 3)",0.27
78,"(2, 4)",0.46
79,"(2, 5)",0.41
80,"(2, 6)",0.45
81,"(2, 7)",0.61
82,"(2, 8)",0.44
83,"(2, 9)",0.44
84,"(2, 10)",0.38
85,"(2, 11)",0.43
86,"(2, 12)",0.43
87,"(2, 13)",0.4
88,"(2, 14)",0.52
89,"(2, 15)",0.46
90,"(2, 16)",0.49
91,"(2, 17)",0.39
92,"(2, 18)",0.52
93,"(2, 19)",0.45
94,"(2, 20)",0.48
95,"(2, 21)",0.62
96,"(2, 22)",0.67
97,"(2, 23)",0.6
98,"(2, 24)",0.61
99,"(2, 25)",0.51
100,"(2, 26)",0.58
101,"(2, 27)",0.53
102,"(2, 28)",0.45
103,"(2, 29)",0.51
104,"(2, 30)",0.45
105,"(2, 31)",0.45
106,"(2, 32)",0.49
107,"(2, 33)",0.5
108,"(2, 34)",0.42
109,"(2, 35)",0.38
110,"(2, 36)",0.43
111,"(2, 37)",0.49
112,"(2, 38)",0.55
113,"(2, 39)",0.44
114,"(3, 4)",0.51
115,"(3, 5)",0.44
116,"(3, 6)",0.45
117,"(3, 7)",0.64
118,"(3, 8)",0.44
119,"(3, 9)",0.44
120,"(3, 10)",0.4
121,"(3, 11)",0.45
122,"(3, 12)",0.41
123,"(3, 13)",0.36
124,"(3, 14)",0.5
125,"(3, 15)",0.39
126,"(3, 16)",0.45
127,"(3, 17)",0.43
128,"(3, 18)",0.54
129,"(3, 19)",0.49
130,"(3, 20)",0.5
131,"(3, 21)",0.64
132,"(3, 22)",0.68
133,"(3, 23)",0.67
134,"(3, 24)",0.59
135,"(3, 25)",0.53
136,"(3, 26)",0.65
137,"(3, 27)",0.57
138,"(3, 28)",0.49
139,"(3, 29)",0.51
140,"(3, 30)",0.47
141,"(3, 31)",0.48
142,"(3, 32)",0.48
143,"(3, 33)",0.55
144,"(3, 34)",0.47
145,"(3, 35)",0.42
146,"(3, 36)",0.43
147,"(3, 37)",0.51
148,"(3, 38)",0.59
149,"(3, 39)",0.47
150,"(4, 5)",0.31
151,"(4, 6)",0.38
152,"(4, 7)",0.72
153,"(4, 8)",0.57
154,"(4, 9)",0.61
155,"(4, 10)",0.54
156,"(4, 11)",0.53
157,"(4, 12)",0.48
158,"(4, 13)",0.49
159,"(4, 14)",0.57
160,"(4, 15)",0.54
161,"(4, 16)",0.59
162,"(4, 17)",0.56
163,"(4, 18)",0.52
164,"(4, 19)",0.47
165,"(4, 20)",0.52
166,"(4, 21)",0.66
167,"(4, 22)",0.68
168,"(4, 23)",0.66
169,"(4, 24)",0.65
170,"(4, 25)",0.63
171,"(4, 26)",0.62
172,"(4, 27)",0.66
173,"(4, 28)",0.51
174,"(4, 29)",0.56
175,"(4, 30)",0.51
176,"(4, 31)",0.55
177,"(4, 32)",0.57
178,"(4, 33)",0.56
179,"(4, 34)",0.58
180,"(4, 35)",0.53
181,"(4, 36)",0.55
182,"(4, 37)",0.66
183,"(4, 38)",0.65
184,"(4, 39)",0.39
185,"(5, 6)",0.37
186,"(5, 7)",0.67
187,"(5, 8)",0.52
188,"(5, 9)",0.55
189,"(5, 10)",0.48
190,"(5, 11)",0.49
191,"(5, 12)",0.45
192,"(5, 13)",0.47
193,"(5, 14)",0.54
194,"(5, 15)",0.52
195,"(5, 16)",0.56
196,"(5, 17)",0.54
197,"(5, 18)",0.48
198,"(5, 19)",0.43
199,"(5, 20)",0.48
200,"(5, 21)",0.64
201,"(5, 22)",0.67
202,"(5, 23)",0.63
203,"(5, 24)",0.64
204,"(5, 25)",0.56
205,"(5, 26)",0.6
206,"(5, 27)",0.61
207,"(5, 28)",0.41
208,"(5, 29)",0.57
209,"(5, 30)",0.53
210,"(5, 31)",0.49
211,"(5, 32)",0.52
212,"(5, 33)",0.51
213,"(5, 34)",0.5
214,"(5, 35)",0.51
215,"(5, 36)",0.54
216,"(5, 37)",0.59
217,"(5, 38)",0.6
218,"(5, 39)",0.42
219,"(6, 7)",0.66
220,"(6, 8)",0.55
221,"(6, 9)",0.58
222,"(6, 10)",0.46
223,"(6, 11)",0.49
224,"(6, 12)",0.47
225,"(6, 13)",0.44
226,"(6, 14)",0.49
227,"(6, 15)",0.46
228,"(6, 16)",0.46
229,"(6, 17)",0.48
230,"(6, 18)",0.55
231,"(6, 19)",0.51
232,"(6, 20)",0.47
233,"(6, 21)",0.63
234,"(6, 22)",0.69
235,"(6, 23)",0.66
236,"(6, 24)",0.67
237,"(6, 25)",0.58
238,"(6, 26)",0.65
239,"(6, 27)",0.59
240,"(6, 28)",0.47
241,"(6, 29)",0.54
242,"(6, 30)",0.45
243,"(6, 31)",0.47
244,"(6, 32)",0.5
245,"(6, 33)",0.54
246,"(6, 34)",0.55
247,"(6, 35)",0.54
248,"(6, 36)",0.55
249,"(6, 37)",0.6
250,"(6, 38)",0.59
251,"(6, 39)",0.33
252,"(7, 8)",0.57
253,"(7, 9)",0.62
254,"(7, 10)",0.61
255,"(7, 11)",0.64
256,"(7, 12)",0.67
257,"(7, 13)",0.66
258,"(7, 14)",0.59
259,"(7, 15)",0.58
260,"(7, 16)",0.65
261,"(7, 17)",0.63
262,"(7, 18)",0.68
263,"(7, 19)",0.66
264,"(7, 20)",0.56
265,"(7, 21)",0.72
266,"(7, 22)",0.78
267,"(7, 23)",0.66
268,"(7, 24)",0.64
269,"(7, 25)",0.62
270,"(7, 26)",0.65
271,"(7, 27)",0.38
272,"(7, 28)",0.61
273,"(7, 29)",0.62
274,"(7, 30)",0.62
275,"(7, 31)",0.62
276,"(7, 32)",0.61
277,"(7, 33)",0.65
278,"(7, 34)",0.61
279,"(7, 35)",0.63
280,"(7, 36)",0.63
281,"(7, 37)",0.45
282,"(7, 38)",0.38
283,"(7, 39)",0.66
284,"(8, 9)",0.4
285,"(8, 10)",0.38
286,"(8, 11)",0.44
287,"(8, 12)",0.44
288,"(8, 13)",0.46
289,"(8, 14)",0.47
290,"(8, 15)",0.45
291,"(8, 16)",0.53
292,"(8, 17)",0.55
293,"(8, 18)",0.53
294,"(8, 19)",0.52
295,"(8, 20)",0.46
296,"(8, 21)",0.64
297,"(8, 22)",0.67
298,"(8, 23)",0.6
299,"(8, 24)",0.56
300,"(8, 25)",0.49
301,"(8, 26)",0.53
302,"(8, 27)",0.55
303,"(8, 28)",0.54
304,"(8, 29)",0.51
305,"(8, 30)",0.52
306,"(8, 31)",0.46
307,"(8, 32)",0.49
308,"(8, 33)",0.4
309,"(8, 34)",0.36
310,"(8, 35)",0.41
311,"(8, 36)",0.4
312,"(8, 37)",0.53
313,"(8, 38)",0.59
314,"(8, 39)",0.53
315,"(9, 10)",0.4
316,"(9, 11)",0.41
317,"(9, 12)",0.38
318,"(9, 13)",0.42
319,"(9, 14)",0.5
320,"(9, 15)",0.46
321,"(9, 16)",0.57
322,"(9, 17)",0.53
323,"(9, 18)",0.55
324,"(9, 19)",0.55
325,"(9, 20)",0.48
326,"(9, 21)",0.65
327,"(9, 22)",0.63
328,"(9, 23)",0.53
329,"(9, 24)",0.52
330,"(9, 25)",0.44
331,"(9, 26)",0.48
332,"(9, 27)",0.53
333,"(9, 28)",0.54
334,"(9, 29)",0.42
335,"(9, 30)",0.47
336,"(9, 31)",0.48
337,"(9, 32)",0.49
338,"(9, 33)",0.35
339,"(9, 34)",0.34
340,"(9, 35)",0.38
341,"(9, 36)",0.31
342,"(9, 37)",0.55
343,"(9, 38)",0.59
344,"(9, 39)",0.6
345,"(10, 11)",0.31
346,"(10, 12)",0.23
347,"(10, 13)",0.25
348,"(10, 14)",0.34
349,"(10, 15)",0.36
350,"(10, 16)",0.44
351,"(10, 17)",0.44
352,"(10, 18)",0.52
353,"(10, 19)",0.48
354,"(10, 20)",0.42
355,"(10, 21)",0.63
356,"(10, 22)",0.66
357,"(10, 23)",0.54
358,"(10, 24)",0.54
359,"(10, 25)",0.51
360,"(10, 26)",0.49
361,"(10, 27)",0.57
362,"(10, 28)",0.44
363,"(10, 29)",0.49
364,"(10, 30)",0.5
365,"(10, 31)",0.36
366,"(10, 32)",0.45
367,"(10, 33)",0.42
368,"(10, 34)",0.32
369,"(10, 35)",0.39
370,"(10, 36)",0.4
371,"(10, 37)",0.55
372,"(10, 38)",0.59
373,"(10, 39)",0.52
374,"(11, 12)",0.31
375,"(11, 13)",0.33
376,"(11, 14)",0.44
377,"(11, 15)",0.37
378,"(11, 16)",0.5
379,"(11, 17)",0.46
380,"(11, 18)",0.53
381,"(11, 19)",0.53
382,"(11, 20)",0.51
383,"(11, 21)",0.65
384,"(11, 22)",0.68
385,"(11, 23)",0.54
386,"(11, 24)",0.57
387,"(11, 25)",0.5
388,"(11, 26)",0.53
389,"(11, 27)",0.59
390,"(11, 28)",0.45
391,"(11, 29)",0.46
392,"(11, 30)",0.47
393,"(11, 31)",0.43
394,"(11, 32)",0.46
395,"(11, 33)",0.51
396,"(11, 34)",0.44
397,"(11, 35)",0.4
398,"(11, 36)",0.44
399,"(11, 37)",0.52
400,"(11, 38)",0.61
401,"(11, 39)",0.51
402,"(12, 13)",0.21
403,"(12, 14)",0.39
404,"(12, 15)",0.36
405,"(12, 16)",0.5
406,"(12, 17)",0.48
407,"(12, 18)",0.48
408,"(12, 19)",0.48
409,"(12, 20)",0.47
410,"(12, 21)",0.66
411,"(12, 22)",0.65
412,"(12, 23)",0.6
413,"(12, 24)",0.57
414,"(12, 25)",0.5
415,"(12, 26)",0.54
416,"(12, 27)",0.58
417,"(12, 28)",0.44
418,"(12, 29)",0.48
419,"(12, 30)",0.49
420,"(12, 31)",0.38
421,"(12, 32)",0.43
422,"(12, 33)",0.42
423,"(12, 34)",0.4
424,"(12, 35)",0.41
425,"(12, 36)",0.41
426,"(12, 37)",0.57
427,"(12, 38)",0.58
428,"(12, 39)",0.53
429,"(13, 14)",0.39
430,"(13, 15)",0.31
431,"(13, 16)",0.49
432,"(13, 17)",0.44
433,"(13, 18)",0.5
434,"(13, 19)",0.52
435,"(13, 20)",0.49
436,"(13, 21)",0.66
437,"(13, 22)",0.68
438,"(13, 23)",0.61
439,"(13, 24)",0.56
440,"(13, 25)",0.51
441,"(13, 26)",0.55
442,"(13, 27)",0.59
443,"(13, 28)",0.44
444,"(13, 29)",0.49
445,"(13, 30)",0.46
446,"(13, 31)",0.38
447,"(13, 32)",0.41
448,"(13, 33)",0.42
449,"(13, 34)",0.41
450,"(13, 35)",0.32
451,"(13, 36)",0.4
452,"(13, 37)",0.58
453,"(13, 38)",0.59
454,"(13, 39)",0.5
455,"(14, 15)",0.36
456,"(14, 16)",0.54
457,"(14, 17)",0.48
458,"(14, 18)",0.51
459,"(14, 19)",0.53
460,"(14, 20)",0.47
461,"(14, 21)",0.7
462,"(14, 22)",0.7
463,"(14, 23)",0.56
464,"(14, 24)",0.54
465,"(14, 25)",0.48
466,"(14, 26)",0.57
467,"(14, 27)",0.52
468,"(14, 28)",0.49
469,"(14, 29)",0.5
470,"(14, 30)",0.47
471,"(14, 31)",0.49
472,"(14, 32)",0.5
473,"(14, 33)",0.45
474,"(14, 34)",0.47
475,"(14, 35)",0.48
476,"(14, 36)",0.5
477,"(14, 37)",0.57
478,"(14, 38)",0.59
479,"(14, 39)",0.51
480,"(15, 16)",0.45
481,"(15, 17)",0.45
482,"(15, 18)",0.52
483,"(15, 19)",0.52
484,"(15, 20)",0.46
485,"(15, 21)",0.64
486,"(15, 22)",0.69
487,"(15, 23)",0.57
488,"(15, 24)",0.51
489,"(15, 25)",0.49
490,"(15, 26)",0.56
491,"(15, 27)",0.54
492,"(15, 28)",0.42
493,"(15, 29)",0.49
494,"(15, 30)",0.42
495,"(15, 31)",0.44
496,"(15, 32)",0.41
497,"(15, 33)",0.46
498,"(15, 34)",0.42
499,"(15, 35)",0.36
500,"(15, 36)",0.41
501,"(15, 37)",0.56
502,"(15, 38)",0.54
503,"(15, 39)",0.47
504,"(16, 17)",0.42
505,"(16, 18)",0.66
506,"(16, 19)",0.61
507,"(16, 20)",0.52
508,"(16, 21)",0.69
509,"(16, 22)",0.72
510,"(16, 23)",0.73
511,"(16, 24)",0.67
512,"(16, 25)",0.63
513,"(16, 26)",0.69
514,"(16, 27)",0.59
515,"(16, 28)",0.51
516,"(16, 29)",0.56
517,"(16, 30)",0.51
518,"(16, 31)",0.54
519,"(16, 32)",0.55
520,"(16, 33)",0.56
521,"(16, 34)",0.55
522,"(16, 35)",0.51
523,"(16, 36)",0.53
524,"(16, 37)",0.62
525,"(16, 38)",0.61
526,"(16, 39)",0.53
527,"(17, 18)",0.54
528,"(17, 19)",0.51
529,"(17, 20)",0.48
530,"(17, 21)",0.65
531,"(17, 22)",0.69
532,"(17, 23)",0.63
533,"(17, 24)",0.57
534,"(17, 25)",0.55
535,"(17, 26)",0.64
536,"(17, 27)",0.56
537,"(17, 28)",0.44
538,"(17, 29)",0.47
539,"(17, 30)",0.44
540,"(17, 31)",0.46
541,"(17, 32)",0.53
542,"(17, 33)",0.52
543,"(17, 34)",0.47
544,"(17, 35)",0.43
545,"(17, 36)",0.49
546,"(17, 37)",0.52
547,"(17, 38)",0.54
548,"(17, 39)",0.49
549,"(18, 19)",0.37
550,"(18, 20)",0.53
551,"(18, 21)",0.63
552,"(18, 22)",0.66
553,"(18, 23)",0.67
554,"(18, 24)",0.61
555,"(18, 25)",0.54
556,"(18, 26)",0.61
557,"(18, 27)",0.68
558,"(18, 28)",0.55
559,"(18, 29)",0.54
560,"(18, 30)",0.57
561,"(18, 31)",0.55
562,"(18, 32)",0.57
563,"(18, 33)",0.54
564,"(18, 34)",0.57
565,"(18, 35)",0.47
566,"(18, 36)",0.52
567,"(18, 37)",0.58
568,"(18, 38)",0.64
569,"(18, 39)",0.55
570,"(19, 20)",0.48
571,"(19, 21)",0.64
572,"(19, 22)",0.7
573,"(19, 23)",0.61
574,"(19, 24)",0.59
575,"(19, 25)",0.52
576,"(19, 26)",0.55
577,"(19, 27)",0.61
578,"(19, 28)",0.53
579,"(19, 29)",0.56
580,"(19, 30)",0.55
581,"(19, 31)",0.53
582,"(19, 32)",0.6
583,"(19, 33)",0.56
584,"(19, 34)",0.53
585,"(19, 35)",0.47
586,"(19, 36)",0.47
587,"(19, 37)",0.56
588,"(19, 38)",0.57
589,"(19, 39)",0.53
590,"(20, 21)",0.63
591,"(20, 22)",0.67
592,"(20, 23)",0.59
593,"(20, 24)",0.57
594,"(20, 25)",0.55
595,"(20, 26)",0.58
596,"(20, 27)",0.59
597,"(20, 28)",0.47
598,"(20, 29)",0.5
599,"(20, 30)",0.49
600,"(20, 31)",0.49
601,"(20, 32)",0.46
602,"(20, 33)",0.47
603,"(20, 34)",0.48
604,"(20, 35)",0.48
605,"(20, 36)",0.36
606,"(20, 37)",0.52
607,"(20, 38)",0.57
608,"(20, 39)",0.51
609,"(21, 22)",0.44
610,"(21, 23)",0.68
611,"(21, 24)",0.67
612,"(21, 25)",0.59
613,"(21, 26)",0.68
614,"(21, 27)",0.71
615,"(21, 28)",0.67
616,"(21, 29)",0.67
617,"(21, 30)",0.64
618,"(21, 31)",0.62
619,"(21, 32)",0.66
620,"(21, 33)",0.65
621,"(21, 34)",0.61
622,"(21, 35)",0.67
623,"(21, 36)",0.68
624,"(21, 37)",0.64
625,"(21, 38)",0.69
626,"(21, 39)",0.68
627,"(22, 23)",0.68
628,"(22, 24)",0.69
629,"(22, 25)",0.62
630,"(22, 26)",0.7
631,"(22, 27)",0.73
632,"(22, 28)",0.69
633,"(22, 29)",0.68
634,"(22, 30)",0.67
635,"(22, 31)",0.64
636,"(22, 32)",0.67
637,"(22, 33)",0.65
638,"(22, 34)",0.64
639,"(22, 35)",0.69
640,"(22, 36)",0.71
641,"(22, 37)",0.69
642,"(22, 38)",0.74
643,"(22, 39)",0.69
644,"(23, 24)",0.49
645,"(23, 25)",0.51
646,"(23, 26)",0.46
647,"(23, 27)",0.66
648,"(23, 28)",0.61
649,"(23, 29)",0.55
650,"(23, 30)",0.58
651,"(23, 31)",0.62
652,"(23, 32)",0.64
653,"(23, 33)",0.57
654,"(23, 34)",0.52
655,"(23, 35)",0.6
656,"(23, 36)",0.56
657,"(23, 37)",0.64
658,"(23, 38)",0.65
659,"(23, 39)",0.64
660,"(24, 25)",0.47
661,"(24, 26)",0.45
662,"(24, 27)",0.6
663,"(24, 28)",0.59
664,"(24, 29)",0.49
665,"(24, 30)",0.56
666,"(24, 31)",0.6
667,"(24, 32)",0.58
668,"(24, 33)",0.51
669,"(24, 34)",0.5
670,"(24, 35)",0.55
671,"(24, 36)",0.56
672,"(24, 37)",0.55
673,"(24, 38)",0.58
674,"(24, 39)",0.66
675,"(25, 26)",0.44
676,"(25, 27)",0.53
677,"(25, 28)",0.51
678,"(25, 29)",0.51
679,"(25, 30)",0.51
680,"(25, 31)",0.5
681,"(25, 32)",0.54
682,"(25, 33)",0.47
683,"(25, 34)",0.47
684,"(25, 35)",0.51
685,"(25, 36)",0.49
686,"(25, 37)",0.51
687,"(25, 38)",0.55
688,"(25, 39)",0.61
689,"(26, 27)",0.61
690,"(26, 28)",0.59
691,"(26, 29)",0.5
692,"(26, 30)",0.59
693,"(26, 31)",0.52
694,"(26, 32)",0.62
695,"(26, 33)",0.52
696,"(26, 34)",0.49
697,"(26, 35)",0.54
698,"(26, 36)",0.52
699,"(26, 37)",0.6
700,"(26, 38)",0.59
701,"(26, 39)",0.66
702,"(27, 28)",0.53
703,"(27, 29)",0.56
704,"(27, 30)",0.53
705,"(27, 31)",0.54
706,"(27, 32)",0.56
707,"(27, 33)",0.58
708,"(27, 34)",0.53
709,"(27, 35)",0.6
710,"(27, 36)",0.61
711,"(27, 37)",0.44
712,"(27, 38)",0.33
713,"(27, 39)",0.61
714,"(28, 29)",0.47
715,"(28, 30)",0.42
716,"(28, 31)",0.44
717,"(28, 32)",0.45
718,"(28, 33)",0.51
719,"(28, 34)",0.46
720,"(28, 35)",0.43
721,"(28, 36)",0.49
722,"(28, 37)",0.55
723,"(28, 38)",0.53
724,"(28, 39)",0.54
725,"(29, 30)",0.4
726,"(29, 31)",0.5
727,"(29, 32)",0.53
728,"(29, 33)",0.44
729,"(29, 34)",0.45
730,"(29, 35)",0.45
731,"(29, 36)",0.48
732,"(29, 37)",0.51
733,"(29, 38)",0.56
734,"(29, 39)",0.58
735,"(30, 31)",0.51
736,"(30, 32)",0.51
737,"(30, 33)",0.51
738,"(30, 34)",0.42
739,"(30, 35)",0.49
740,"(30, 36)",0.45
741,"(30, 37)",0.51
742,"(30, 38)",0.53
743,"(30, 39)",0.5
744,"(31, 32)",0.42
745,"(31, 33)",0.49
746,"(31, 34)",0.4
747,"(31, 35)",0.38
748,"(31, 36)",0.48
749,"(31, 37)",0.5
750,"(31, 38)",0.52
751,"(31, 39)",0.51
752,"(32, 33)",0.46
753,"(32, 34)",0.43
754,"(32, 35)",0.48
755,"(32, 36)",0.49
756,"(32, 37)",0.53
757,"(32, 38)",0.54
758,"(32, 39)",0.54
759,"(33, 34)",0.36
760,"(33, 35)",0.44
761,"(33, 36)",0.45
762,"(33, 37)",0.61
763,"(33, 38)",0.62
764,"(33, 39)",0.56
765,"(34, 35)",0.43
766,"(34, 36)",0.4
767,"(34, 37)",0.53
768,"(34, 38)",0.57
769,"(34, 39)",0.53
770,"(35, 36)",0.29
771,"(35, 37)",0.57
772,"(35, 38)",0.58
773,"(35, 39)",0.52
774,"(36, 37)",0.59
775,"(36, 38)",0.61
776,"(36, 39)",0.52
777,"(37, 38)",0.4
778,"(37, 39)",0.64
779,"(38, 39)",0.63
